A股代码,B股代码,证券简称,扩位证券简称,公司英文全称,上市日期
600000,-,浦发银行,浦发银行,"Shanghai Pudong Development Bank Co.,Ltd.",19991110
600004,-,白云机场,白云机场,Guangzhou Baiyun International Airport Company Limited,20030428
600006,-,东风汽车,东风汽车,"DONGFENG AUTOMOBILE CO.,LTD.",19990727
600007,-,中国国贸,中国国贸,"China World Trade Center Co.,Ltd.",19990312
600008,-,首创环保,首创环保,"Beijing Capital Eco-Environment Protection GroupCo.,Ltd.",20000427
600009,-,上海机场,上海机场,"Shanghai International Airport Co.,Ltd.",19980218
600010,-,包钢股份,包钢股份,"Inner Mongolia Baotou Steel Union Co.,Ltd",20010309
600011,-,华能国际,华能国际,"Huaneng Power International,Inc.",20011206
600012,-,皖通高速,皖通高速,Anhui Expressway Company Limited,20030107
600015,-,华夏银行,华夏银行,"Hua Xia Bank Co.,Limited",20030912
600016,-,民生银行,民生银行,"China Minsheng Banking Corp., Ltd.",20001219
600017,-,日照港,日照港,"Rizhao Port Co.,Ltd.",20061017
600018,-,上港集团,上港集团,"Shanghai International Port (Group) Co., Ltd.",20000719
600019,-,宝钢股份,宝钢股份,"Baoshan Iron & Steel Co.,Ltd.",20001212
600020,-,中原高速,中原高速,"Henan Zhongyuan Expressway Co.,Ltd.",20030808
600021,-,上海电力,上海电力,"Shanghai Electric Power Co.,Ltd",20031029
600022,-,山东钢铁,山东钢铁,Shandong Iron and Steel Company Ltd,20040629
600023,-,浙能电力,浙能电力,"Zhejiang Zheneng Electric Power CO.,LTD",20131219
600025,-,华能水电,华能水电,Huaneng Lancang River Hydropower Inc.,20171215
600026,-,中远海能,中远海能,"Cosco Shipping Energy Transportation Co., Ltd.",20020523
600027,-,华电国际,华电国际,Huadian Power International Corporation Limited,20050203
600028,-,中国石化,中国石化,China Petroleum & Chemical Corporation,20010808
600029,-,南方航空,南方航空,China Southern Airlines Company Limited,20030725
600030,-,中信证券,中信证券,CITIC Securities Company Limited,20030106
600031,-,三一重工,三一重工,"SANY HEAVY INDUSTRY CO.,LTD",20030703
600032,-,浙江新能,浙江新能,"Zhejiang Provincial New Energy Investment Group Co., Ltd.",20210525
600033,-,福建高速,福建高速,"Fujian Expressway Development Co.,Ltd",20010209
600035,-,楚天高速,楚天高速,"Hubei Chutian Smart Communication Co.,Ltd.",20040310
600036,-,招商银行,招商银行,"China Merchants Bank Co., Ltd.",20020409
600037,-,歌华有线,歌华有线,"Beijing Gehua CATV Network Co., Ltd.",20010208
600038,-,中直股份,中直股份,Avicopter Plc.,20001218
600039,-,四川路桥,四川路桥,"SICHUAN ROAD&BRIDGE GROUP CO.,LTD.",20030325
600048,-,保利发展,保利发展,"Poly Developments and Holdings Group Co., Ltd.",20060731
600050,-,中国联通,中国联通,China United Network Communications Limited,20021009
600051,-,宁波联合,宁波联合,"Ningbo United Group Co.,Ltd.",19970410
600052,-,东望时代,东望时代,"ZHEJIANG DONGWANG TIMES TECHNOLOGY CO., LTD.",19970415
600053,-,九鼎投资,九鼎投资,"Kunwu Jiuding Investment Holdings Co., Ltd",19970418
600054,900942,黄山旅游,黄山旅游,"Huangshan Tourism Development Co.,Ltd.",19970506
600055,-,万东医疗,万东医疗,"Beijing Wandong Medical Technology Co., Ltd.",19970519
600056,-,中国医药,中国医药,"China Meheco Group Co., Ltd.",19970515
