板块,公司全称,英文名称,注册地址,A股代码,A股简称,A股上市日期,A股总股本,A股流通股本,B股代码,B股 简 称,B股上市日期,B股总股本,B股流通股本,地      区,省    份,城     市,所属行业,公司网址
主板,平安银行股份有限公司,"Ping An Bank Co., Ltd.",广东省深圳市罗湖区深南东路5047号,000001,平安银行,1991-04-03,"19,405,918,198","19,405,534,450",,,,0,0,华南,广东,深圳市,J 金融业,bank.pingan.com
主板,万科企业股份有限公司,"CHINA VANKE CO., LTD.",广东省深圳市盐田区大梅沙环梅路33号万科中心,000002,万  科Ａ,1991-01-29,"9,724,196,533","9,716,667,215",,,,0,0,华南,广东,深圳市,K 房地产,www.vanke.com
主板,深圳国华网安科技股份有限公司,"Shenzhen GuoHua Network Security Technology Co., Ltd.",广东省深圳市福田区梅林街道梅都社区中康路126号卓越梅林中心广场（南区）卓悦汇B2206A,000004,ST国华,1990-12-01,"132,848,008","118,916,853",,,,0,0,华南,广东,深圳市,I 信息技术,www.000004.cn
主板,深圳世纪星源股份有限公司,SHENZHEN FOUNTAIN CORPORATION,广东省深圳市罗湖区深南东路2017号华乐大厦3楼,000005,ST星源,1990-12-10,"1,058,536,842","1,057,946,242",,,,0,0,华南,广东,深圳市,N 公共环保,www.fountain.com.cn
主板,深圳市振业(集团)股份有限公司,"SHENZHEN ZHENYE(GROUP) CO.,LTD.",广东省深圳市罗湖区桂园街道宝安南路2014号振业大厦A座31层,000006,深振业Ａ,1992-04-27,"1,349,995,046","1,349,995,046",,,,0,0,华南,广东,深圳市,K 房地产,www.zhenye.com
主板,深圳市全新好股份有限公司,"SHENZHEN Quanxinhao CO., LTD.",广东省深圳市福田区梅林街道梅康路8号理想时代大厦6楼,000007,全新好,1992-04-13,"346,448,044","308,948,044",,,,0,0,华南,广东,深圳市,K 房地产,www.sz000007.com
主板,神州高铁技术股份有限公司,"China High-Speed Railway Technology Co., Ltd.",北京市海淀区高梁桥斜街59号院1号楼16层1606,000008,神州高铁,1992-05-07,"2,716,377,683","2,630,074,048",,,,0,0,华北,北京,北京市,C 制造业,www.shenzhou-gaotie.com
主板,中国宝安集团股份有限公司,"CHINA BAOAN GROUP CO., LTD.",广东省深圳市笋岗东路1002号宝安广场A座28-29层,000009,中国宝安,1991-06-25,"2,579,213,965","2,551,430,324",,,,0,0,华南,广东,深圳市,S 综合,www.chinabaoan.com
主板,深圳美丽生态股份有限公司,"SHENZHEN ECOBEAUTY CO., LTD.",广东省深圳市宝安区新安街道海旺社区宝兴路6号海纳百川总部大厦B座17层1701-1703室,000010,美丽生态,1995-10-27,"1,058,692,292","522,171,498",,,,0,0,华南,广东,深圳市,E 建筑业,www.eco-beauty.cn
主板,深圳市物业发展(集团)股份有限公司,ShenZhen Properties & Resources Development (Group) Ltd.,广东省深圳市罗湖区人民南路国贸大厦39层、42层,000011,深物业A,1992-03-30,"528,373,849","526,475,543",200011,深物业B,1992-03-30,"67,605,243","67,605,243",华南,广东,深圳市,K 房地产,www.szwuye.com.cn
主板,中国南玻集团股份有限公司,"CSG HOLDING CO.,LTD.",广东省深圳市蛇口工业六路一号南玻大厦,000012,南  玻Ａ,1992-02-28,"1,961,323,047","1,956,966,398",200012,南  玻Ｂ,1992-02-28,"1,109,369,060","1,109,369,060",华南,广东,深圳市,C 制造业,www.csgholding.com
主板,沙河实业股份有限公司,"SHAHE INDUSTRIAL CO.,LTD.",广东省深圳市南山区白石路2222号沙河世纪楼,000014,沙河股份,1992-06-02,"242,046,224","242,046,224",,,,0,0,华南,广东,深圳市,K 房地产,www.shahe.cn
主板,康佳集团股份有限公司,"KONKA GROUP CO.,LTD",广东省深圳市南山区粤海街道科技园科技南十二路28号康佳研发大厦15-24层,000016,深康佳Ａ,1992-03-27,"1,596,593,800","1,596,579,175",200016,深康佳Ｂ,1992-03-27,"811,351,608","811,351,608",华南,广东,深圳市,C 制造业,www.konka.com
